,City,Country,Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
386,dhilwan,IN,78.8,57,0,5.48,31.52,75.35,1602427166
387,kandrian,PG,78.21,89,100,6.78,-6.22,149.55,1602427166
388,port lavaca,US,82.99,88,1,4.7,28.61,-96.63,1602427166
389,gambiran,ID,81.1,74,24,8.95,-6.8,111.5,1602427166
390,columbus,US,66.99,88,90,5.82,39.96,-83.0,1602427014
391,kampot,KH,78.8,94,75,1.12,10.62,104.18,1602427166
392,buarcos,PT,71.6,43,0,13.87,40.17,-8.88,1602427166
393,herat,AF,55.4,32,0,3.36,34.5,62.0,1602427166
394,nisia floresta,BR,86.0,55,75,11.41,-6.09,-35.21,1602427166
395,nyurba,RU,22.51,94,38,0.94,63.28,118.33,1602427167
396,saint anthony,US,51.01,71,1,12.75,45.02,-93.22,1602427167
397,sobolevo,RU,52.54,84,100,4.81,54.43,31.9,1602427167
398,elko,US,41.0,69,27,5.01,41.0,-115.5,1602427167
399,praia,CV,86.0,58,20,18.34,14.92,-23.51,1602427167
400,hami,CN,43.68,49,0,4.36,42.8,93.45,1602427167
401,geraldton,AU,64.4,77,75,14.99,-28.77,114.6,1602427167
402,mocuba,MZ,80.08,69,72,11.7,-16.84,36.99,1602427167
403,yeppoon,AU,69.8,77,82,6.93,-23.13,150.73,1602427167
404,lebedinyy,RU,18.54,93,100,10.67,58.52,125.52,1602427168
405,nayoro,JP,48.6,88,100,3.71,44.35,142.46,1602427168
406,nuuk,GL,41.0,94,75,28.86,64.18,-51.72,1602427106
407,nelson bay,AU,57.0,71,0,1.81,-32.72,152.15,1602427168
408,longyearbyen,SJ,24.8,68,75,3.36,78.22,15.64,1602426897
409,ponta delgada,PT,69.8,64,40,10.29,37.73,-25.67,1602427169
410,sampit,ID,77.79,86,93,3.51,-2.53,112.95,1602427169
411,bambous virieux,MU,77.0,88,40,8.05,-20.34,57.76,1602427169
412,batticaloa,LK,82.33,66,86,15.14,7.71,81.69,1602427169
413,biscarrosse,FR,55.4,93,65,4.7,44.39,-1.17,1602427169
414,ranong,TH,75.2,94,75,7.02,9.97,98.63,1602427169
415,weston,US,88.0,83,20,9.17,26.1,-80.4,1602427170
416,yaan,NG,83.89,73,77,4.09,7.38,8.57,1602427170
417,porto novo,BJ,80.6,88,40,10.29,6.5,2.6,1602427170
418,victor harbor,AU,60.01,62,8,1.01,-35.57,138.62,1602427170
419,beringovskiy,RU,30.78,97,99,18.3,63.05,179.32,1602427170
420,superior,US,46.4,75,40,6.93,46.72,-92.1,1602427170
421,paoua,CF,81.03,79,97,5.44,7.24,16.44,1602427171
422,saint-pierre,RE,77.0,78,6,9.17,-21.34,55.48,1602427171
423,mont-dore,NC,77.0,99,66,6.35,-22.28,166.58,1602427171
424,lasa,IT,52.0,65,90,9.17,46.62,10.7,1602427171
425,virden,US,62.6,93,40,5.82,39.5,-89.77,1602427171
426,zeliezovce,SK,55.99,84,100,1.99,48.05,18.65,1602427171
427,kodiak,US,30.2,92,1,6.93,57.79,-152.41,1602427171
428,kuragino,RU,31.89,98,100,1.14,53.9,92.67,1602427171
429,vila velha,BR,77.0,57,75,14.99,-20.33,-40.29,1602426924
430,quelimane,MZ,80.01,83,75,11.41,-17.88,36.89,1602427172
431,atar,MR,101.66,11,0,9.06,20.52,-13.05,1602427172
432,turukhansk,RU,21.22,97,100,10.83,65.82,87.98,1602427172
433,winnemucca,US,37.4,69,1,6.93,40.97,-117.74,1602427172
434,kenai,US,30.2,92,90,3.36,60.55,-151.26,1602427172
435,novorozhdestvenskaya,RU,69.76,52,44,5.41,45.86,39.95,1602427172
436,broken hill,AU,62.6,39,0,6.93,-31.95,141.43,1602427172
437,semnan,IR,58.68,33,0,0.87,35.57,53.4,1602427043
438,tuy hoa,VN,75.76,91,100,5.84,13.08,109.3,1602427148
439,vao,NC,73.53,88,82,14.32,-22.67,167.48,1602427172
440,pedernales,DO,86.0,74,40,5.37,18.04,-71.74,1602427172
441,guerrero negro,MX,70.52,78,4,13.15,27.98,-114.06,1602427172
442,wanaka,NZ,50.0,81,55,1.01,-44.7,169.15,1602427172
443,funchal,PT,73.4,64,40,16.11,32.63,-16.9,1602427172
444,kaeo,NZ,61.0,84,99,11.01,-35.1,173.78,1602427173
445,kirovskiy,RU,50.74,88,100,7.18,45.09,133.51,1602427173
446,paracuru,BR,82.0,72,21,17.0,-3.41,-39.03,1602427173
447,mankono,CI,81.79,76,51,5.03,8.06,-6.19,1602427173
448,griffith,US,62.01,77,40,6.93,41.53,-87.42,1602427142
449,mahajanga,MG,86.0,66,20,14.99,-15.72,46.32,1602427173
450,makakilo city,US,78.8,83,1,3.36,21.35,-158.09,1602427173
451,tari,NG,94.28,37,58,3.36,12.41,4.49,1602427173
452,wagar,SD,97.93,9,0,6.93,16.15,36.2,1602427173
453,sovetskiy,RU,45.88,92,85,7.36,61.36,63.58,1602427173
454,otse,BW,64.4,77,75,14.99,-25.02,25.73,1602427173
455,san andres,CO,86.0,74,20,9.17,12.58,-81.7,1602427173
456,chernyshevskiy,RU,22.06,95,25,2.26,63.01,112.47,1602427174
457,kamojima,JP,68.0,82,20,4.7,34.07,134.35,1602427174
458,namatanai,PG,79.05,79,70,6.49,-3.67,152.43,1602427174
459,amalapuram,IN,78.8,94,90,5.82,16.58,82.02,1602427026
460,prince rupert,CA,46.4,87,90,9.17,54.32,-130.32,1602427174
461,parrita,CR,77.0,69,40,16.11,9.52,-84.32,1602427174
462,sao borja,BR,80.47,38,0,2.21,-28.66,-56.0,1602427174
463,cordoba,AR,71.01,28,0,12.75,-31.41,-64.18,1602427170
464,hay river,CA,39.2,93,75,6.93,60.82,-115.8,1602427174
465,bubaque,GW,81.86,85,16,14.47,11.28,-15.83,1602427174
466,sol-iletsk,RU,47.03,47,7,2.04,51.16,54.99,1602427003
467,chapleau,CA,30.2,80,75,6.93,47.84,-83.4,1602427174
468,usinsk,RU,45.66,86,95,17.25,65.99,57.53,1602427175
469,saint-joseph,RE,77.0,78,21,9.17,-21.37,55.62,1602427175
470,alamogordo,US,63.0,27,1,5.82,32.9,-105.96,1602427175
471,ust-tsilma,RU,47.57,80,100,8.72,65.44,52.15,1602427175
472,jam sahib,PK,96.8,34,65,6.93,26.3,68.63,1602427175
473,dunedin,NZ,55.99,64,20,4.0,-45.87,170.5,1602427071
474,tabou,CI,79.09,85,46,13.11,4.42,-7.35,1602427175
475,lata,PT,71.01,38,0,8.01,40.16,-8.33,1602427175
476,mpanda,TZ,85.41,36,100,4.88,-6.37,31.04,1602427175
477,nortelandia,BR,82.74,60,93,6.04,-14.45,-56.8,1602427175
478,liptovsky hradok,SK,51.01,93,90,9.17,49.04,19.72,1602427175
479,vanimo,PG,76.5,85,78,4.92,-2.67,141.3,1602427176
480,ossora,RU,32.29,89,0,5.14,59.24,163.07,1602427176
481,arman,RU,34.95,81,100,3.67,59.7,150.17,1602427176
482,hilton head island,US,81.0,88,75,6.93,32.22,-80.75,1602427176
483,san quintin,MX,67.82,80,97,8.86,30.48,-115.95,1602427176
484,coffs harbour,AU,60.8,82,75,4.29,-30.3,153.13,1602427045
485,mutis,CO,81.75,80,91,9.1,6.23,-77.4,1602427176
486,tigil,RU,30.02,93,0,3.09,57.8,158.67,1602427176
487,algiers,DZ,66.2,93,75,12.75,36.75,3.04,1602426973
488,orange walk,BZ,82.4,94,40,3.02,17.83,-88.83,1602427177
489,ola,RU,35.37,79,75,2.48,59.58,151.28,1602427177
490,port hedland,AU,77.0,65,0,13.87,-20.32,118.57,1602427177
491,tessalit,ML,93.11,18,93,11.74,20.2,1.01,1602427177
492,iqaluit,CA,35.6,80,20,14.99,63.75,-68.51,1602427177
493,port-gentil,GA,80.6,83,90,9.17,-0.72,8.78,1602427141
494,dallas,US,75.99,73,1,10.29,32.77,-96.78,1602427139
495,vila,PT,63.0,52,0,10.0,42.03,-8.16,1602427177
496,ducheng,CN,72.12,75,0,2.1,23.24,111.53,1602427178
497,gravdal,NO,46.4,87,75,10.29,68.12,13.5,1602427173
498,vera cruz,BR,103.03,25,26,2.53,-12.63,-41.03,1602427178
499,coahuayana,MX,71.6,78,40,1.23,18.73,-103.68,1602427178
500,pampa,US,60.8,93,90,16.11,35.54,-100.96,1602427178
501,birao,CF,90.82,52,15,2.75,10.28,22.79,1602427178
502,codajas,BR,104.72,30,80,0.96,-3.84,-62.06,1602427179
503,acarau,BR,88.59,49,17,15.41,-2.89,-40.12,1602427179
504,terme,TR,71.6,73,40,8.05,41.21,36.97,1602427179
505,waipawa,NZ,57.2,87,79,26.4,-41.41,175.52,1602427179
506,vanavara,RU,23.23,93,72,7.07,60.34,102.28,1602427179
507,kichera,RU,27.73,93,100,3.13,55.94,110.1,1602427179
508,skjervoy,NO,44.6,100,75,4.7,70.03,20.97,1602427179
509,bo rai,TH,75.16,93,100,3.69,12.57,102.54,1602427179
510,kostino,RU,48.97,86,100,4.99,58.91,53.27,1602427179
511,san juan,AR,67.26,23,0,6.29,-31.54,-68.54,1602427179
512,vallenar,CL,75.65,31,1,6.13,-28.57,-70.76,1602427179
513,kang,BW,79.7,17,7,14.07,-23.68,22.79,1602427179
514,mozarlandia,BR,99.82,28,22,8.93,-14.74,-50.57,1602427090
515,derzhavinsk,KZ,49.69,53,39,7.85,51.1,66.32,1602427180
516,morondava,MG,78.49,69,35,19.08,-20.28,44.28,1602427180
517,seymchan,RU,24.85,86,82,2.86,62.88,152.43,1602427180
518,clinton,US,55.0,87,20,12.75,42.59,-82.92,1602427180
519,iaciara,BR,87.55,43,76,4.36,-14.1,-46.63,1602427180
520,pacific grove,US,55.99,93,1,3.36,36.62,-121.92,1602427040
521,belaya gora,RU,25.21,91,97,5.37,68.53,146.42,1602427180
522,cururupu,BR,91.09,47,27,7.92,-1.83,-44.87,1602427180
523,baker city,US,37.99,74,1,9.17,44.77,-117.83,1602427180
524,tampakan,PH,75.15,88,100,3.24,6.44,124.93,1602427180
525,sandwick,GB,50.0,81,40,8.05,60.0,-1.25,1602427180
526,marystown,CA,63.0,100,100,15.01,47.17,-55.15,1602427180
527,monrovia,LR,78.8,88,75,11.32,6.3,-10.8,1602426938
528,havoysund,NO,42.8,93,90,5.82,71.0,24.66,1602427181
529,santa cruz,BO,91.4,49,40,16.11,-17.8,-63.17,1602427032
530,lomas de sargentillo,EC,78.8,69,40,6.93,-1.88,-80.08,1602427181
531,sandakan,MY,84.2,79,40,4.7,5.84,118.12,1602427181
532,karratha,AU,75.58,58,0,13.31,-20.74,116.85,1602426975
533,severo-yeniseyskiy,RU,17.56,95,97,2.13,60.37,93.04,1602427181
534,doctor arroyo,MX,68.77,41,94,2.51,23.67,-100.18,1602427181
535,tura,IN,75.07,91,82,1.41,25.52,90.22,1602427181
536,kapuskasing,CA,32.0,80,20,12.75,49.42,-82.43,1602426906
537,egvekinot,RU,26.26,95,43,17.4,66.32,-179.17,1602427181
538,kongolo,CD,83.7,66,84,2.82,-5.38,27.0,1602427181
539,bosaso,SO,86.0,62,0,13.87,11.28,49.18,1602427181
540,nishihara,JP,78.8,88,75,9.17,26.18,127.76,1602427181
541,ugoofaaru,MV,82.4,79,89,16.87,5.67,73.0,1602427182
542,sangar,RU,22.46,87,100,9.46,63.92,127.47,1602427182
543,kollam,IN,82.4,88,75,2.24,8.88,76.6,1602427182
544,shaowu,CN,65.5,82,0,2.57,27.34,117.48,1602427182
545,hofn,IS,44.6,93,90,12.75,64.25,-15.21,1602427182
546,sapernoye,RU,53.01,93,100,4.99,60.72,29.95,1602427182
547,doctor juan leon mallorquin,PY,82.4,37,0,4.7,-25.4,-55.27,1602427182
